Customer ID,Feedback Channel,Rating,Comment,Date
C00827,Survey,1.0,Not worth the price.,2024-07-08
C00045,Social Media,3.0,Very poor qualty for the price.,2024-10-18
C00748,Social Media,4.0,The servise was grate!,2024-03-07
,Social Media,4.0,Too slow response time.,2024-09-19
C00550,Email,3.0,Not worth the price.,2024-08-04
C00128,Survey,2.0,Very poor qualty for the price.,2024-06-08
C00997,Survey,3.0,Good but could be better.??,2024-02-02
C00945,Survey,5.0,Too slow response time.,2024-01-23
C00388,Email,3.0,Not worth the price.,2023-12-09
C00081,Social Media,5.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-03-13
C00566,Survey,1.0,Would definitly recommend!*,2023-12-03
C00301,Email,4.0,Exceeds my expectations!??,2024-05-04
C00850,Email,4.0,The best experience i've had!,2023-12-09
C00644,Survey,5.0,"Overall, a decent experience.*",2024-02-23
,Social Media,2.0,Not worth the price.,2023-12-20
C00907,Email,2.0,Good but could be better.??,2024-08-03
C00883,Social Media,2.0,The best experience i've had!,2024-05-21
C00371,Social Media,5.0,The servise was grate!,2024-05-15
C00592,Survey,2.0,Not worth the price.,2023-11-21
C00197,Survey,2.0,Too slow response time.,2024-04-10
C00722,Survey,2.0,The best experience i've had!,2024-07-10
C00072,Social Media,1.0,Good but could be better.??,2024-04-10
C00047,Social Media,1.0,Good but could be better.??,2024-06-22
C00678,Email,4.0,Would definitly recommend!*,2024-03-08
C00234,Email,3.0,Could improve produtc qualty....,2024-02-22
C00792,Email,5.0,Not worth the price.,2024-08-13
C00297,Survey,1.0,Very poor qualty for the price.,2024-09-02
C00082,Social Media,2.0,T0tally satisfi3d!,2023-12-21
C00876,Social Media,2.0,,2024-03-13
,Social Media,3.0,Terrible custmer support.!!!,2024-06-24
C00888,Email,2.0,Very poor qualty for the price.,2024-07-18
,Survey,3.0,Exceeds my expectations!??,2024-04-26
C00390,Survey,3.0,Satisfied with the service.,2024-01-29
,Social Media,4.0,Satisfied with the service.,2024-03-17
C00465,Social Media,5.0,Would definitly recommend!*,2024-06-25
,Social Media,5.0,T0tally satisfi3d!,2024-04-06
C00855,Social Media,5.0,T0tally satisfi3d!,2024-04-07
C00374,Email,5.0,Satisfied with the service.,2024-01-09
C00167,Email,3.0,Very responsive and helpful!*,2023-11-06
,Social Media,2.0,Could improve produtc qualty....,2024-02-09
C00364,Email,3.0,Would definitly recommend!*,2024-04-20
C00215,Social Media,4.0,The servise was grate!,2024-09-10
C00687,Social Media,3.0,T0tally satisfi3d!,2024-03-18
C00274,Social Media,2.0,Could improve produtc qualty....,2024-03-28
C00719,Email,5.0,Exceeds my expectations!??,2023-12-27
C00960,Social Media,1.0,Not worth the price.,2023-11-13
C00700,Social Media,4.0,Satisfied with the service.,2024-10-14
C00664,Survey,,"Overall, a decent experience.*",2024-01-29
C00074,Survey,2.0,Exceeds my expectations!??,2024-02-28
C00624,Email,2.0,Very responsive and helpful!*,2024-07-20
C00651,Survey,1.0,,2024-07-08
C00176,Email,2.0,Could improve produtc qualty....,2024-09-30
C00547,Social Media,1.0,The servise was grate!,2024-02-28
C00747,,2.0,The best experience i've had!,2024-05-05
C00251,Email,2.0,Satisfied with the service.,2023-12-17
C00168,Social Media,4.0,The servise was grate!,2024-08-06
C00474,Survey,3.0,Terrible custmer support.!!!,2024-10-19
C00389,Survey,1.0,Terrible custmer support.!!!,2024-10-28
C00277,Email,5.0,Would definitly recommend!*,2024-05-31
C00948,Social Media,4.0,The servise was grate!,2024-06-03
C00656,Survey,4.0,,
C00705,Social Media,,Good but could be better.??,2024-07-16
C00571,Social Media,2.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-07-07
C00225,Survey,5.0,Too slow response time.,2024-04-07
C00702,Social Media,,"Overall, a decent experience.*",2023-12-23
C00333,Email,4.0,Satisfied with the service.,2024-02-17
C00864,Survey,2.0,,2023-12-21
C00787,Email,4.0,Very responsive and helpful!*,2024-02-17
C00795,Survey,5.0,"Overall, a decent experience.*",2024-05-10
C00058,Email,3.0,Exceeds my expectations!??,2023-12-14
C00235,Social Media,5.0,Terrible custmer support.!!!,2024-07-20
C00842,Social Media,4.0,T0tally satisfi3d!,2024-10-15
C00033,Email,1.0,T0tally satisfi3d!,2024-02-09
C00825,Social Media,3.0,T0tally satisfi3d!,2023-11-09
C00324,Email,5.0,Could improve produtc qualty....,2024-01-16
C00411,,3.0,Very poor qualty for the price.,2024-05-04
,Survey,3.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-07-25
C00068,Social Media,2.0,Exceeds my expectations!??,2024-05-14
C00217,Social Media,3.0,Terrible custmer support.!!!,2024-02-13
C00936,Survey,3.0,Very poor qualty for the price.,2024-03-20
,Social Media,4.0,Very responsive and helpful!*,2024-06-06
C00581,Survey,5.0,"Overall, a decent experience.*",2024-04-15
C00898,Survey,4.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-08-04
C00736,Email,1.0,Exceeds my expectations!??,2023-12-15
C00323,Email,3.0,"Overall, a decent experience.*",2024-05-01
C00218,Survey,5.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-02-20
C00672,Survey,3.0,Could improve produtc qualty....,2024-09-18
C00512,Email,1.0,Terrible custmer support.!!!,2024-07-31
,Survey,3.0,The servise was grate!,2024-08-06
C00906,Survey,4.0,The servise was grate!,2024-05-09
C00937,Survey,1.0,"Overall, a decent experience.*",2024-09-26
C00659,Social Media,5.0,Satisfied with the service.,2024-01-29
,Email,2.0,Could improve produtc qualty....,2024-10-25
C00147,,1.0,T0tally satisfi3d!,2024-01-04
C00272,Survey,2.0,,2024-07-12
C00143,Social Media,4.0,Very poor qualty for the price.,2024-08-12
,Social Media,,Too slow response time.,2024-09-08
C00763,Survey,1.0,Too slow response time.,2024-04-20
C00575,Email,5.0,Could improve produtc qualty....,2024-04-28
C00552,Social Media,3.0,Exceeds my expectations!??,2024-09-18
C00270,Email,2.0,The servise was grate!,2024-09-17
,Social Media,3.0,Would definitly recommend!*,2023-12-04
C00599,Social Media,3.0,Exceeds my expectations!??,2024-08-26
C00439,Email,4.0,Terrible custmer support.!!!,2024-07-29
C00920,Survey,4.0,The servise was grate!,2024-04-08
C00598,Email,5.0,Very responsive and helpful!*,2024-10-31
,Survey,1.0,Could improve produtc qualty....,2024-10-16
,Survey,5.0,Would definitly recommend!*,2023-12-13
,Social Media,2.0,Satisfied with the service.,2024-01-31
C00142,Social Media,4.0,,2024-08-14
C00522,Social Media,5.0,Not worth the price.,2024-05-15
C00506,Survey,2.0,The best experience i've had!,2024-04-22
C00094,Survey,2.0,T0tally satisfi3d!,2024-05-07
C00774,Email,,Would definitly recommend!*,2024-07-27
C00049,Email,1.0,Too slow response time.,2023-12-31
C00882,,2.0,Too slow response time.,2024-05-15
