Date,Store ID,Product ID,Units Sold,Sales Amount,Discount Applied,Customer Segment
10/11/2024,S013,P026,183.0,2934.57,,
11-24-2024,S011,P069,200.0,3213.49,8.97,Regular
11-18-2024,S049,P042,27.0,4364.95,4.45,Regular
11-14-2024,S017,,158.0,4200.93,17.58,New
,S044,P027,186.0,715.89,1.15,Regular
2024-11-16,S034,P092,198.0,1944.72,,
12/11/2024,S005,,155.0,1884.08,9.99,Regular
14/11/2024,S023,,4.0,4399.17,3.45,New
11-12-2024,S010,P018,168.0,1991.44,9.33,Premium
24/11/2024,S010,,50.0,,18.68,Regular
2024-11-15,S014,P005,186.0,2280.85,12.28,Premium
11-21-2024,S002,P072,33.0,4765.0,19.66,New
11-09-2024,S015,P058,106.0,1091.33,10.22,Regular
2024-11-24,S033,P024,182.0,581.64,14.39,New
2024-11-05,S031,P066,159.0,203.53,19.23,Regular
2024-11-05,S031,P060,54.0,4436.0,11.16,Regular
06/11/2024,S011,P072,187.0,3180.86,1.5,
11-29-2024,S026,P053,134.0,3960.67,19.41,New
13/11/2024,S044,P090,,,,Premium
2024-11-01,S018,P047,187.0,3950.56,12.61,New
2024-11-19,S026,P078,104.0,785.73,3.05,Regular
2024-11-01,S037,P030,153.0,1367.23,,Regular
11-02-2024,S038,P019,123.0,4276.22,4.08,Premium
11-23-2024,S029,P074,102.0,2757.11,12.14,Regular
,S027,P071,43.0,3061.32,12.58,Premium
2024-11-28,S022,P003,5.0,4316.44,17.05,New
11-04-2024,S002,P090,178.0,,19.73,Premium
07/11/2024,S033,P091,41.0,3814.02,8.34,
11-18-2024,S028,P018,161.0,2498.55,0.46,Regular
11-16-2024,S005,P077,22.0,341.74,3.95,Premium
11-05-2024,S047,P078,67.0,4376.54,1.6,Regular
2024-11-21,S044,P001,42.0,4844.55,18.61,New
26/11/2024,S004,P098,126.0,2531.41,15.93,
22/11/2024,S041,P087,50.0,1338.26,,Regular
2024-11-10,S044,,118.0,3090.99,16.05,Premium
19/11/2024,S016,P078,120.0,1794.8,2.46,New
,S030,P008,119.0,1625.08,16.16,Premium
,S046,P005,128.0,1753.34,18.35,Regular
13/11/2024,S049,P067,161.0,592.04,17.52,Regular
11-10-2024,S026,,105.0,480.23,12.47,Regular
11-17-2024,S048,P067,104.0,1440.21,16.3,Premium
11-12-2024,S011,P093,,2488.64,2.83,Premium
2024-11-12,S042,P036,60.0,4063.05,2.7,Regular
11-22-2024,S028,P038,143.0,3827.43,10.42,New
17/11/2024,S050,P066,1.0,,11.45,Regular
2024-11-27,S032,P058,898.0,4241.9,1.56,Regular
21/11/2024,S038,,60.0,4499.87,17.19,Premium
11-10-2024,S038,P085,73.0,1736.01,13.61,Premium
11-07-2024,,P008,17.0,3585.08,1.83,New
11-13-2024,S001,P047,104.0,3798.41,13.83,Premium
,S003,P042,175.0,2473.91,9.67,Premium
2024-11-29,S048,P061,99.0,4447.65,2.61,Premium
2024-11-25,S011,P047,90.0,2167.44,6.53,Regular
2024-11-14,S007,P052,,,,Regular
2024-11-19,S014,P078,18.0,2750.45,0.52,Premium
11-15-2024,S023,P039,62.0,26075.267158507715,18.75,Regular
2024-11-11,S022,P034,100.0,,1.45,New
11-05-2024,S012,P067,,3861.44,5.67,Premium
08/11/2024,S020,P008,195.0,4679.12,7.67,Premium
11-13-2024,S030,,167.0,249.94,4.78,Premium
20/11/2024,S041,P082,133.0,2016.85,15.02,Regular
11-05-2024,S008,P023,198.0,1874.81,19.8,Premium
01/11/2024,S046,P064,105.0,941.48,1.03,Premium
,S008,P082,195.0,3798.75,,New
15/11/2024,S021,P032,,2808.62,0.23,New
10/11/2024,S039,P084,191.0,3516.92,2.3,New
2024-11-10,S007,P074,100.0,1711.42,16.9,Premium
2024-11-22,S024,P072,,4148.39,13.05,Premium
11-25-2024,S019,P012,167.0,1724.82,17.18,Premium
10/11/2024,S021,P082,91.0,147.94,,Regular
11-18-2024,S019,P004,186.0,1906.76,,New
11-03-2024,S001,P047,59.0,668.08,14.72,Premium
11-02-2024,S001,P001,140.0,3854.48,3.49,Premium
07/11/2024,S035,P012,137.0,737.51,,New
07/11/2024,S006,P007,46.0,4832.03,2.8,Regular
11-04-2024,S023,P088,54.0,3629.69,17.17,New
25/11/2024,S015,P058,10.0,3173.58,3.47,New
11-23-2024,S018,P010,110.0,2987.14,4.24,Regular
,S046,P068,197.0,2609.67,4.3,Premium
2024-11-17,S032,P093,,3631.6,9.63,New
11-13-2024,S012,P086,49.0,4616.65,6.49,Premium
2024-11-03,S044,P013,,15.69,,New
01/11/2024,S031,P082,,2338.79,18.79,Regular
2024-11-17,,P040,149.0,2087.26,12.29,New
2024-11-03,S023,P057,191.0,657.76,8.86,Regular
11-19-2024,S001,P055,48.0,4732.23,6.08,New
,S032,P031,142.0,3484.41,8.79,Regular
05/11/2024,S023,P099,29.0,2884.28,,Regular
,S017,P044,146.0,2239.22,18.63,
13/11/2024,S046,P059,170.0,4331.39,5.15,Regular
11-16-2024,S003,P066,48.0,4397.61,8.25,
11-04-2024,S039,P083,,4902.66,10.73,Regular
01/11/2024,S023,P078,174.0,1461.25,2.83,Regular
15/11/2024,S012,P003,112.0,2895.68,13.42,New
11-25-2024,S021,P045,178.0,,17.83,Regular
18/11/2024,S015,P097,166.0,3682.41,9.61,New
11-27-2024,S014,P046,128.0,3508.89,3.61,New
2024-11-09,S042,P039,45.0,3009.47,13.78,Premium
21/11/2024,S034,P003,152.0,3662.62,17.23,Regular
28/11/2024,S036,P065,197.0,4577.87,2.19,Regular
01/11/2024,S003,P016,28.0,583.8,,Premium
2024-11-09,S024,P093,159.0,4531.8,15.62,New
25/11/2024,S039,P034,118.0,2685.83,18.67,Regular
11-30-2024,S010,P054,65.0,110.68,,New
2024-11-30,S031,P002,195.0,4000.67,11.43,Premium
11-06-2024,S019,P088,126.0,1109.25,9.57,Premium
05/11/2024,S003,P022,3.0,4378.71,,Premium
11-11-2024,S006,P061,184.0,360.68,17.74,Premium
06/11/2024,S037,P039,28.0,3693.3,8.65,New
11-14-2024,S006,P016,131.0,676.27,8.52,New
,S025,P062,147.0,3675.63,2.0,New
11-27-2024,S012,P094,191.0,4572.32,10.1,New
